iter	Passed	Remaining
653	44652	23623
654	44712	23550
655	44783	23483
656	44843	23411
657	44913	23344
658	44987	23278
659	45054	23209
660	45129	23145
661	45208	23082
662	45276	23014
663	45352	22949
664	45428	22885
665	45506	22821
666	45572	22751
667	45653	22690
668	45718	22620
669	45795	22555
670	45865	22488
671	45928	22417
672	45998	22349
673	46077	22286
674	46135	22213
675	46215	22150
676	46306	22093
677	46387	22030
678	46464	21966
679	46553	21907
680	46617	21837
681	46684	21767
682	46748	21697
683	46814	21627
684	46887	21561
685	46963	21496
686	47029	21426
687	47098	21358
688	47164	21289
689	47247	21227
690	47329	21164
691	47411	21102
692	47485	21036
693	47549	20965
694	47625	20900
695	47679	20825
696	47742	20754
697	47814	20687
698	47881	20618
699	47961	20555
700	48030	20486
701	48113	20424
702	48175	20352
703	48248	20286
704	48319	20218
705	48404	20157
706	48480	20091
707	48543	20020
708	48603	19948
709	48681	19884
710	48735	19809
711	48800	19739
712	48867	19670
713	48934	19601
714	48995	19529
715	49064	19461
716	49155	19401
717	49225	19333
718	49294	19265
719	49355	19193
720	49416	19122
721	49486	19054
722	49540	18980
723	49598	18907
724	49664	18838
725	49729	18768
726	49801	18701
727	49869	18632
728	49946	18567
729	50032	18505
730	50098	18435
731	50166	18367
732	50240	18300
733	50312	18233
734	50379	18164
735	50469	18103
736	50535	18033
737	50598	17963
738	50677	17898
739	50742	17828
740	50812	17760
741	50872	17688
742	50953	17624
743	51025	17557
744	51091	17487
745	51140	17412
746	51198	17340
747	51245	17264
748	51310	17194
749	51389	17129
750	51455	17060
751	51523	16991
752	51574	16917
753	51653	16852
754	51714	16781
755	51791	16715
756	51859	16647
757	51944	16583
758	52013	16515
759	52091	16449
760	52166	16383
761	52224	16311
762	52293	16243
763	52361	16174
764	52424	16104
765	52485	16033
766	52555	15965
767	52624	15896
768	52714	15834
769	52812	15775
770	52885	15707
771	52961	15641
772	53045	15577
773	53115	15509
774	53203	15446
775	53271	15377
776	53366	15316
777	53434	15247
778	53497	15176
779	53559	15106
780	53624	15036
781	53676	14963
782	53746	14895
783	53831	14831
784	53899	14762
785	53983	14697
786	54041	14626
787	54105	14556
788	54194	14493
789	54262	14424
790	54316	14351
791	54390	14284
792	54450	14213
793	54516	14144
794	54580	14074
795	54648	14005
796	54710	13935
797	54772	13864
798	54824	13791
799	54897	13724
800	54972	13657
801	55041	13588
802	55105	13518
803	55172	13450
804	55226	13377
805	55307	13312
806	55399	13249
807	55460	13178
808	55539	13112
809	55613	13045
810	55672	12974
811	55772	12912
812	55854	12847
813	55916	12777
814	55976	12706
815	56057	12640
816	56135	12573
817	56219	12508
818	56283	12438
819	56350	12369
820	56411	12299
821	56476	12229
822	56550	12162
823	56637	12097
824	56696	12026
825	56753	11955
826	56832	11888
827	56898	11819
828	56977	11752
829	57052	11685
830	57129	11618
831	57194	11548
832	57248	11477
833	57309	11406
834	57398	11342
835	57473	11274
836	57560	11209
837	57642	11143
838	57713	11074
839	57789	11007
840	57856	10938
841	57924	10869
842	57993	10800
843	58065	10732
844	58144	10665
845	58201	10594
846	58272	10526
847	58339	10457
848	58404	10387
849	58466	10317
850	58526	10247
851	58603	10179
852	58663	10109
853	58756	10044
854	58815	9974
855	58880	9905
856	58953	9837
857	59024	9768
858	59087	9698
859	59160	9630
860	59253	9565
861	59310	9495
862	59375	9425
863	59447	9357
864	59512	9288
865	59578	9218
866	59638	9148
867	59704	9079
868	59769	9010
869	59827	8939
870	59907	8872
871	59966	8802
872	60034	8733
873	60098	8664
874	60163	8594
875	60230	8525
876	60296	8456
877	60345	8385
878	60409	8315
879	60473	8246
880	60541	8177
881	60612	8109
882	60686	8041
883	60746	7971
884	60830	7904
885	60901	7836
886	60968	7767
887	61042	7699
888	61116	7630
889	61169	7560
890	61233	7490
891	61300	7421
892	61379	7354
893	61433	7284
894	61493	7214
895	61564	7145
896	61628	7076
897	61694	7007
898	61758	6938
899	61830	6870
900	61883	6799
901	61957	6731
902	62042	6664
903	62115	6596
904	62181	6527
905	62247	6458
906	62308	6388
907	62374	6319
908	62439	6250
909	62509	6182
910	62577	6113
911	62651	6045
912	62710	5975
913	62769	5906
914	62842	5837
915	62909	5768
916	62979	5700
917	63035	5630
918	63080	5559
919	63139	5490
920	63214	5422
921	63280	5353
922	63357	5285
923	63418	5216
924	63479	5146
925	63529	5076
926	63612	5009
927	63679	4940
928	63737	4871
929	63816	4803
930	63898	4735
931	63967	4667
932	64039	4598
933	64107	4530
934	64182	4461
935	64244	4392
936	64320	4324
937	64406	4257
938	64485	4189
939	64567	4121
940	64636	4052
941	64703	3983
942	64754	3914
943	64824	3845
944	64887	3776
945	64962	3708
946	65035	3639
947	65100	3570
948	65166	3502
949	65254	3434
950	65317	3365
951	65372	3296
952	65442	3227
953	65515	3159
954	65592	3090
955	65656	3021
956	65724	2953
957	65796	2884
958	65867	2816
959	65956	2748
960	66025	2679
961	66075	2610
962	66151	2541
963	66215	2472
964	66283	2404
965	66364	2335
966	66429	2266
967	66502	2198
968	66569	2129
969	66652	2061
970	66743	1993
971	66820	1924
972	66904	1856
973	66991	1788
974	67062	1719
975	67122	1650
976	67184	1581
977	67251	1512
